"","Variety","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","L024","L025","L034","L035","L036","L037","L075","L087","L019","L029","L093","L030","L176","L023","L027","L184","L012","L155"
"N0132",6.35542167713737,NA,NA,0.385628399120878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00445356272012,-0.0967915755547907,-1.45388707119556,-1.23888309724117,-1.93265719517862,-1.86226545908913,-0.657617651347532,0.618284451958599,2.45332053006718,2.80195394549339,0.492003053928844,NA,NA,NA,NA,NA,NA,NA
"N0133",3.96363623721416,NA,NA,0.240501854086834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52365954087757,1.75368139994682,-0.928482085070605,-2.20417959916494,-0.910351713037409,-2.33066146499666,-0.463479662566737,-4.32221601809512,3.64125951088047,2.33355793958586,-0.142026450650775,NA,NA,NA,NA,NA,NA,NA
"N0134",-14.4605859796927,NA,NA,-0.877426063129077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0128684865733,0.733591833691288,-1.28603765663782,-1.73356767737175,-3.42114276734168,-4.34455202328468,-1.15230223147809,3.93317034128591,1.62736895259246,-2.16483509878338,-2.32155050761087,NA,NA,NA,NA,NA,NA,NA
"N0170",10.0097885783547,NA,NA,NA,0.607364694445681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15215041844255,-1.14492025805726,-0.342564907101769,1.8351255284357,-1.49277904221062,-2.08954408028702,-2.37783094537971,NA,2.92743945461134,NA,6.45938730832418,NA,NA,NA,NA,NA,NA,NA
"N0171",14.160704277247,NA,NA,NA,-0.0228051200514191,0.882035238565826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.2313216668,-1.99518281344847,4.82743761560855,-0.78638170483215,-2.70221005705063,13.2894216428035,4.53893069056515,-7.25112000649625,7.47763983671914,NA,-3.12197744071998,-2.07583890267009,NA,NA,NA,NA,NA,NA
"N0172",-8.4971802163367,NA,NA,NA,-0.515584043094106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.51841864932859,-1.80925144472213,-1.67460240728434,2.04753822138142,-1.32247733697835,-0.583829748019323,-1.53982292662974,NA,2.4300348463259,NA,1.78881824055303,NA,NA,NA,NA,NA,NA,NA
"N0173",-3.23619825075003,NA,NA,NA,0.239209528282761,2.44625732436056,-1.90553356403733,-0.261854645267359,-0.714441688001931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.86233016660964,-0.257332919167855,0.0962139976834809,0.446264916563445,-1.08504880362402,4.48743396553448,-4.58321962981896,-2.78171963397384,9.84004392927445,NA,-3.17007170104183,-0.722976135205494,NA,NA,NA,NA,NA,NA
"N0174",-5.48557251388874,NA,NA,NA,0.4574882146909,NA,-0.790336710708045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52159884418593,8.80624920010613,-7.22348070159771,3.59627337878643,-13.5438462112644,-16.936926340712,-7.78186708232642,6.58673828791996,13.2336269867562,NA,-3.22779158757735,9.2696206866635,NA,NA,NA,NA,NA,NA
"N0177",14.1262907687891,NA,NA,NA,0.857142007473582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8376771007987,-1.96314278808938,-1.8284937506516,3.06213292667015,1.02752999534581,-0.570794513007142,-1.86064084837642,NA,6.11545480568549,NA,5.80809135667148,NA,NA,NA,NA,NA,NA,NA
"N0179",1.61761884346501,NA,NA,NA,-2.26083873000105,2.3589911102336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.26103160937726,-0.973637700990745,6.33494519526892,5.16678781276059,-5.57530913622228,4.95975187737103,-4.69978336893928,-2.58218574547274,3.32603696073981,NA,-1.35217901361077,3.45273944093796,NA,NA,NA,NA,NA,NA
